 gdp_for_year ($) ,HDI for year,age,country,country-year,gdp_per_capita ($),generation,population,sex,suicides/100k pop,suicides_no,year
"709,452,584",,75+ years,Albania,Albania1992,251.0,G.I. Generation,23900.0,male,0.0,0.0,1992
"1,228,071,038",,15-24 years,Albania,Albania1993,437.0,Generation X,243300.0,male,7.4,18.0,1993
"1,228,071,038",,55-74 years,Albania,Albania1993,437.0,Silent,165000.0,male,4.24,7.0,1993
"1,228,071,038",,75+ years,Albania,Albania1993,437.0,G.I. Generation,24200.0,male,4.13,1.0,1993
"1,228,071,038",,25-34 years,Albania,Albania1993,437.0,Boomers,230100.0,male,3.91,9.0,1993
"1,228,071,038",,15-24 years,Albania,Albania1993,437.0,Generation X,285300.0,female,3.51,10.0,1993
"1,228,071,038",,35-54 years,Albania,Albania1993,437.0,Boomers,350300.0,male,2.85,10.0,1993
"1,228,071,038",,25-34 years,Albania,Albania1993,437.0,Boomers,261800.0,female,2.67,7.0,1993
"1,228,071,038",,35-54 years,Albania,Albania1993,437.0,Boomers,331200.0,female,2.11,7.0,1993
"1,228,071,038",,55-74 years,Albania,Albania1993,437.0,Silent,169500.0,female,1.18,2.0,1993
"1,228,071,038",,5-14 years,Albania,Albania1993,437.0,Millenials,340300.0,female,0.29,1.0,1993
"1,228,071,038",,5-14 years,Albania,Albania1993,437.0,Millenials,367000.0,male,0.27,1.0,1993
"1,228,071,038",,75+ years,Albania,Albania1993,437.0,G.I. Generation,39300.0,female,0.0,0.0,1993
"1,985,673,798",,75+ years,Albania,Albania1994,697.0,G.I. Generation,24600.0,male,8.13,2.0,1994
"1,985,673,798",,55-74 years,Albania,Albania1994,697.0,Silent,171400.0,male,6.42,11.0,1994
"1,985,673,798",,75+ years,Albania,Albania1994,697.0,G.I. Generation,39900.0,female,5.01,2.0,1994
"1,985,673,798",,25-34 years,Albania,Albania1994,697.0,Boomers,231400.0,male,2.59,6.0,1994
"1,985,673,798",,35-54 years,Albania,Albania1994,697.0,Boomers,362800.0,male,2.48,9.0,1994
"1,985,673,798",,15-24 years,Albania,Albania1994,697.0,Generation X,242200.0,male,2.48,6.0,1994
"1,985,673,798",,15-24 years,Albania,Albania1994,697.0,Generation X,282600.0,female,2.12,6.0,1994
"1,985,673,798",,25-34 years,Albania,Albania1994,697.0,Boomers,261100.0,female,1.53,4.0,1994
"1,985,673,798",,35-54 years,Albania,Albania1994,697.0,Boomers,342500.0,female,0.58,2.0,1994
"1,985,673,798",,55-74 years,Albania,Albania1994,697.0,Silent,174600.0,female,0.57,1.0,1994
"1,985,673,798",,5-14 years,Albania,Albania1994,697.0,Millenials,371800.0,male,0.27,1.0,1994
"1,985,673,798",,5-14 years,Albania,Albania1994,697.0,Millenials,344400.0,female,0.0,0.0,1994
"2,424,499,009",0.619,25-34 years,Albania,Albania1995,835.0,Generation X,232900.0,male,5.58,13.0,1995
"2,424,499,009",0.619,55-74 years,Albania,Albania1995,835.0,Silent,178000.0,male,5.06,9.0,1995
"2,424,499,009",0.619,75+ years,Albania,Albania1995,835.0,G.I. Generation,40800.0,female,4.9,2.0,1995
"2,424,499,009",0.619,15-24 years,Albania,Albania1995,835.0,Generation X,283500.0,female,4.59,13.0,1995
"2,424,499,009",0.619,15-24 years,Albania,Albania1995,835.0,Generation X,241200.0,male,4.56,11.0,1995
"2,424,499,009",0.619,75+ years,Albania,Albania1995,835.0,G.I. Generation,25100.0,male,3.98,1.0,1995
"2,424,499,009",0.619,35-54 years,Albania,Albania1995,835.0,Boomers,375900.0,male,3.72,14.0,1995
"2,424,499,009",0.619,25-34 years,Albania,Albania1995,835.0,Generation X,264000.0,female,2.65,7.0,1995
"2,424,499,009",0.619,35-54 years,Albania,Albania1995,835.0,Boomers,356400.0,female,2.24,8.0,1995
"2,424,499,009",0.619,5-14 years,Albania,Albania1995,835.0,Millenials,376500.0,male,1.59,6.0,1995
"2,424,499,009",0.619,55-74 years,Albania,Albania1995,835.0,Silent,180400.0,female,1.11,2.0,1995
"2,424,499,009",0.619,5-14 years,Albania,Albania1995,835.0,Millenials,348700.0,female,0.57,2.0,1995
"3,314,898,292",,75+ years,Albania,Albania1996,1127.0,G.I. Generation,25400.0,male,7.87,2.0,1996
"3,314,898,292",,15-24 years,Albania,Albania1996,1127.0,Generation X,243600.0,male,6.98,17.0,1996
"3,314,898,292",,25-34 years,Albania,Albania1996,1127.0,Generation X,235300.0,male,5.95,14.0,1996
"3,314,898,292",,15-24 years,Albania,Albania1996,1127.0,Generation X,287700.0,female,5.56,16.0,1996
"3,314,898,292",,75+ years,Albania,Albania1996,1127.0,G.I. Generation,41200.0,female,4.85,2.0,1996
"3,314,898,292",,25-34 years,Albania,Albania1996,1127.0,Generation X,267900.0,female,3.73,10.0,1996
"3,314,898,292",,35-54 years,Albania,Albania1996,1127.0,Boomers,379600.0,male,3.16,12.0,1996
"3,314,898,292",,35-54 years,Albania,Albania1996,1127.0,Boomers,362000.0,female,2.49,9.0,1996
"3,314,898,292",,55-74 years,Albania,Albania1996,1127.0,Silent,179900.0,male,1.67,3.0,1996
"3,314,898,292",,55-74 years,Albania,Albania1996,1127.0,Silent,183100.0,female,0.55,1.0,1996
"3,314,898,292",,5-14 years,Albania,Albania1996,1127.0,Millenials,380400.0,male,0.53,2.0,1996
"3,314,898,292",,5-14 years,Albania,Albania1996,1127.0,Millenials,354100.0,female,0.28,1.0,1996
"2,359,903,108",,25-34 years,Albania,Albania1997,793.0,Generation X,236000.0,male,15.25,36.0,1997
"2,359,903,108",,15-24 years,Albania,Albania1997,793.0,Generation X,244400.0,male,13.5,33.0,1997
"2,359,903,108",,75+ years,Albania,Albania1997,793.0,G.I. Generation,25400.0,male,11.81,3.0,1997
"2,359,903,108",,35-54 years,Albania,Albania1997,793.0,Boomers,380800.0,male,7.88,30.0,1997
"2,359,903,108",,15-24 years,Albania,Albania1997,793.0,Generation X,294000.0,female,7.14,21.0,1997
"2,359,903,108",,55-74 years,Albania,Albania1997,793.0,Silent,180300.0,male,6.66,12.0,1997
"2,359,903,108",,25-34 years,Albania,Albania1997,793.0,Generation X,273900.0,female,5.84,16.0,1997
"2,359,903,108",,75+ years,Albania,Albania1997,793.0,G.I. Generation,42100.0,female,4.75,2.0,1997
"2,359,903,108",,35-54 years,Albania,Albania1997,793.0,Boomers,370100.0,female,1.89,7.0,1997
"2,359,903,108",,5-14 years,Albania,Albania1997,793.0,Millenials,361800.0,female,1.66,6.0,1997
"2,359,903,108",,5-14 years,Albania,Albania1997,793.0,Millenials,381500.0,male,1.05,4.0,1997
"2,359,903,108",,55-74 years,Albania,Albania1997,793.0,Silent,187000.0,female,0.0,0.0,1997
"2,707,123,772",,75+ years,Albania,Albania1998,899.0,G.I. Generation,25800.0,male,11.63,3.0,1998
"2,707,123,772",,15-24 years,Albania,Albania1998,899.0,Generation X,248800.0,male,10.85,27.0,1998
"2,707,123,772",,15-24 years,Albania,Albania1998,899.0,Generation X,295600.0,female,10.83,32.0,1998
"2,707,123,772",,25-34 years,Albania,Albania1998,899.0,Generation X,240400.0,male,10.82,26.0,1998
"2,707,123,772",,35-54 years,Albania,Albania1998,899.0,Boomers,388200.0,male,7.47,29.0,1998
"2,707,123,772",,55-74 years,Albania,Albania1998,899.0,Silent,183800.0,male,4.9,9.0,1998
"2,707,123,772",,25-34 years,Albania,Albania1998,899.0,Generation X,275300.0,female,3.63,10.0,1998
"2,707,123,772",,55-74 years,Albania,Albania1998,899.0,Silent,188200.0,female,3.19,6.0,1998
"2,707,123,772",,35-54 years,Albania,Albania1998,899.0,Boomers,372100.0,female,2.42,9.0,1998
"2,707,123,772",,5-14 years,Albania,Albania1998,899.0,Millenials,388400.0,male,0.51,2.0,1998
"2,707,123,772",,5-14 years,Albania,Albania1998,899.0,Millenials,363800.0,female,0.27,1.0,1998
"2,707,123,772",,75+ years,Albania,Albania1998,899.0,G.I. Generation,42300.0,female,0.0,0.0,1998
"3,414,760,915",,75+ years,Albania,Albania1999,1127.0,G.I. Generation,25900.0,male,11.58,3.0,1999
"3,414,760,915",,15-24 years,Albania,Albania1999,1127.0,Generation X,250600.0,male,9.58,24.0,1999
"3,414,760,915",,75+ years,Albania,Albania1999,1127.0,G.I. Generation,42400.0,female,9.43,4.0,1999
"3,414,760,915",,35-54 years,Albania,Albania1999,1127.0,Boomers,391100.0,male,7.93,31.0,1999
"3,414,760,915",,25-34 years,Albania,Albania1999,1127.0,Generation X,242300.0,male,7.84,19.0,1999
"3,414,760,915",,55-74 years,Albania,Albania1999,1127.0,Silent,185200.0,male,7.56,14.0,1999
"3,414,760,915",,15-24 years,Albania,Albania1999,1127.0,Generation X,296800.0,female,6.4,19.0,1999
"3,414,760,915",,25-34 years,Albania,Albania1999,1127.0,Generation X,276500.0,female,4.7,13.0,1999
"3,414,760,915",,55-74 years,Albania,Albania1999,1127.0,Silent,188800.0,female,3.18,6.0,1999
"3,414,760,915",,35-54 years,Albania,Albania1999,1127.0,Boomers,373600.0,female,1.34,5.0,1999
"3,414,760,915",,5-14 years,Albania,Albania1999,1127.0,Millenials,365200.0,female,0.27,1.0,1999
"3,414,760,915",,5-14 years,Albania,Albania1999,1127.0,Millenials,391300.0,male,0.0,0.0,1999
"3,632,043,908",0.6559999999999999,25-34 years,Albania,Albania2000,1299.0,Generation X,232000.0,male,7.33,17.0,2000
"3,632,043,908",0.6559999999999999,55-74 years,Albania,Albania2000,1299.0,Silent,177400.0,male,5.64,10.0,2000
"3,632,043,908",0.6559999999999999,75+ years,Albania,Albania2000,1299.0,G.I. Generation,37800.0,female,5.29,2.0,2000
"3,632,043,908",0.6559999999999999,75+ years,Albania,Albania2000,1299.0,G.I. Generation,24900.0,male,4.02,1.0,2000
"3,632,043,908",0.6559999999999999,15-24 years,Albania,Albania2000,1299.0,Generation X,263900.0,female,2.27,6.0,2000
"3,632,043,908",0.6559999999999999,15-24 years,Albania,Albania2000,1299.0,Generation X,240000.0,male,2.08,5.0,2000
"3,632,043,908",0.6559999999999999,35-54 years,Albania,Albania2000,1299.0,Boomers,332200.0,female,1.51,5.0,2000
"3,632,043,908",0.6559999999999999,25-34 years,Albania,Albania2000,1299.0,Generation X,245800.0,female,1.22,3.0,2000
"3,632,043,908",0.6559999999999999,35-54 years,Albania,Albania2000,1299.0,Boomers,374700.0,male,1.07,4.0,2000
"3,632,043,908",0.6559999999999999,5-14 years,Albania,Albania2000,1299.0,Millenials,374900.0,male,0.27,1.0,2000
"3,632,043,908",0.6559999999999999,5-14 years,Albania,Albania2000,1299.0,Millenials,324700.0,female,0.0,0.0,2000
"3,632,043,908",0.6559999999999999,55-74 years,Albania,Albania2000,1299.0,Silent,168000.0,female,0.0,0.0,2000
"4,060,758,804",,25-34 years,Albania,Albania2001,1451.0,Generation X,206484.0,male,10.65,22.0,2001
"4,060,758,804",,35-54 years,Albania,Albania2001,1451.0,Boomers,378826.0,male,8.98,34.0,2001
"4,060,758,804",,55-74 years,Albania,Albania2001,1451.0,Silent,196670.0,male,5.59,11.0,2001
"4,060,758,804",,75+ years,Albania,Albania2001,1451.0,Silent,47254.0,female,4.23,2.0,2001
"4,060,758,804",,15-24 years,Albania,Albania2001,1451.0,Millenials,256039.0,male,3.91,10.0,2001
"4,060,758,804",,15-24 years,Albania,Albania2001,1451.0,Millenials,271359.0,female,3.32,9.0,2001
"4,060,758,804",,35-54 years,Albania,Albania2001,1451.0,Boomers,370191.0,female,3.24,12.0,2001
"4,060,758,804",,75+ years,Albania,Albania2001,1451.0,Silent,31044.0,male,3.22,1.0,2001
"4,060,758,804",,55-74 years,Albania,Albania2001,1451.0,Silent,189799.0,female,3.16,6.0,2001
"4,060,758,804",,5-14 years,Albania,Albania2001,1451.0,Millenials,321556.0,male,1.87,6.0,2001
"4,060,758,804",,25-34 years,Albania,Albania2001,1451.0,Generation X,222771.0,female,1.8,4.0,2001
"4,060,758,804",,5-14 years,Albania,Albania2001,1451.0,Millenials,307356.0,female,0.65,2.0,2001
"4,435,078,648",,75+ years,Albania,Albania2002,1573.0,Silent,31007.0,male,12.9,4.0,2002
"4,435,078,648",,25-34 years,Albania,Albania2002,1573.0,Generation X,206286.0,male,11.15,23.0,2002
"4,435,078,648",,35-54 years,Albania,Albania2002,1573.0,Boomers,382139.0,male,9.16,35.0,2002
"4,435,078,648",,55-74 years,Albania,Albania2002,1573.0,Silent,198130.0,male,6.56,13.0,2002
"4,435,078,648",,15-24 years,Albania,Albania2002,1573.0,Millenials,263067.0,male,5.7,15.0,2002
"4,435,078,648",,15-24 years,Albania,Albania2002,1573.0,Millenials,275970.0,female,5.07,14.0,2002
"4,435,078,648",,35-54 years,Albania,Albania2002,1573.0,Boomers,375113.0,female,4.0,15.0,2002
"4,435,078,648",,25-34 years,Albania,Albania2002,1573.0,Generation X,223685.0,female,3.13,7.0,2002
"4,435,078,648",,75+ years,Albania,Albania2002,1573.0,Silent,47407.0,female,2.11,1.0,2002
"4,435,078,648",,55-74 years,Albania,Albania2002,1573.0,Silent,191712.0,female,2.09,4.0,2002
"4,435,078,648",,5-14 years,Albania,Albania2002,1573.0,Millenials,304850.0,female,0.33,1.0,2002
"4,435,078,648",,5-14 years,Albania,Albania2002,1573.0,Millenials,319473.0,male,0.31,1.0,2002
"5,746,945,913",,75+ years,Albania,Albania2003,2021.0,Silent,49088.0,female,12.22,6.0,2003
"5,746,945,913",,55-74 years,Albania,Albania2003,2021.0,Silent,201520.0,male,7.94,16.0,2003
"5,746,945,913",,35-54 years,Albania,Albania2003,2021.0,Boomers,386196.0,male,7.25,28.0,2003
"5,746,945,913",,15-24 years,Albania,Albania2003,2021.0,Millenials,273235.0,male,5.49,15.0,2003
"5,746,945,913",,15-24 years,Albania,Albania2003,2021.0,Millenials,283709.0,female,4.93,14.0,2003
"5,746,945,913",,55-74 years,Albania,Albania2003,2021.0,Silent,195699.0,female,4.6,9.0,2003
"5,746,945,913",,25-34 years,Albania,Albania2003,2021.0,Generation X,205433.0,male,4.38,9.0,2003
"5,746,945,913",,25-34 years,Albania,Albania2003,2021.0,Generation X,222941.0,female,4.04,9.0,2003
"5,746,945,913",,35-54 years,Albania,Albania2003,2021.0,Boomers,381760.0,female,3.41,13.0,2003
"5,746,945,913",,75+ years,Albania,Albania2003,2021.0,Silent,32667.0,male,3.06,1.0,2003
"5,746,945,913",,5-14 years,Albania,Albania2003,2021.0,Millenials,313204.0,male,1.28,4.0,2003
"5,746,945,913",,5-14 years,Albania,Albania2003,2021.0,Millenials,298477.0,female,0.0,0.0,2003
"7,314,865,176",,75+ years,Albania,Albania2004,2544.0,Silent,35526.0,male,11.26,4.0,2004
"7,314,865,176",,35-54 years,Albania,Albania2004,2544.0,Boomers,391767.0,male,9.95,39.0,2004
"7,314,865,176",,25-34 years,Albania,Albania2004,2544.0,Generation X,203938.0,male,7.85,16.0,2004
"7,314,865,176",,15-24 years,Albania,Albania2004,2544.0,Millenials,292268.0,female,6.84,20.0,2004
"7,314,865,176",,15-24 years,Albania,Albania2004,2544.0,Millenials,286768.0,male,6.63,19.0,2004
"7,314,865,176",,75+ years,Albania,Albania2004,2544.0,Silent,50970.0,female,5.89,3.0,2004
"7,314,865,176",,25-34 years,Albania,Albania2004,2544.0,Generation X,222389.0,female,4.95,11.0,2004
"7,314,865,176",,55-74 years,Albania,Albania2004,2544.0,Silent,207202.0,male,4.83,10.0,2004
"7,314,865,176",,35-54 years,Albania,Albania2004,2544.0,Boomers,391436.0,female,4.34,17.0,2004
"7,314,865,176",,55-74 years,Albania,Albania2004,2544.0,Silent,203841.0,female,1.47,3.0,2004
"7,314,865,176",,5-14 years,Albania,Albania2004,2544.0,Millenials,286705.0,female,1.05,3.0,2004
"7,314,865,176",,5-14 years,Albania,Albania2004,2544.0,Millenials,302181.0,male,0.33,1.0,2004
"8,158,548,717",0.695,15-24 years,Albania,Albania2005,2931.0,Millenials,281922.0,female,0.0,0.0,2005
"8,158,548,717",0.695,25-34 years,Albania,Albania2005,2931.0,Generation X,190745.0,female,0.0,0.0,2005
"8,158,548,717",0.695,35-54 years,Albania,Albania2005,2931.0,Boomers,386513.0,female,0.0,0.0,2005
"8,158,548,717",0.695,5-14 years,Albania,Albania2005,2931.0,Millenials,276559.0,female,0.0,0.0,2005
"8,158,548,717",0.695,55-74 years,Albania,Albania2005,2931.0,Silent,210998.0,female,0.0,0.0,2005
"8,158,548,717",0.695,75+ years,Albania,Albania2005,2931.0,Silent,53191.0,female,0.0,0.0,2005
"8,158,548,717",0.695,15-24 years,Albania,Albania2005,2931.0,Millenials,281675.0,male,0.0,0.0,2005
"8,158,548,717",0.695,25-34 years,Albania,Albania2005,2931.0,Generation X,177519.0,male,0.0,0.0,2005
"8,158,548,717",0.695,35-54 years,Albania,Albania2005,2931.0,Boomers,380242.0,male,0.0,0.0,2005
"8,158,548,717",0.695,5-14 years,Albania,Albania2005,2931.0,Millenials,291367.0,male,0.0,0.0,2005
"8,158,548,717",0.695,55-74 years,Albania,Albania2005,2931.0,Silent,214118.0,male,0.0,0.0,2005
"8,158,548,717",0.695,75+ years,Albania,Albania2005,2931.0,Silent,38471.0,male,0.0,0.0,2005
"8,992,642,349",,15-24 years,Albania,Albania2006,3235.0,Millenials,283138.0,female,0.0,0.0,2006
"8,992,642,349",,25-34 years,Albania,Albania2006,3235.0,Generation X,186391.0,female,0.0,0.0,2006
"8,992,642,349",,35-54 years,Albania,Albania2006,3235.0,Boomers,388746.0,female,0.0,0.0,2006
"8,992,642,349",,5-14 years,Albania,Albania2006,3235.0,Millenials,267316.0,female,0.0,0.0,2006
"8,992,642,349",,55-74 years,Albania,Albania2006,3235.0,Silent,215907.0,female,0.0,0.0,2006
"8,992,642,349",,75+ years,Albania,Albania2006,3235.0,Silent,56011.0,female,0.0,0.0,2006
"8,992,642,349",,15-24 years,Albania,Albania2006,3235.0,Millenials,286679.0,male,0.0,0.0,2006
"8,992,642,349",,25-34 years,Albania,Albania2006,3235.0,Generation X,174092.0,male,0.0,0.0,2006
"8,992,642,349",,35-54 years,Albania,Albania2006,3235.0,Boomers,379076.0,male,0.0,0.0,2006
"8,992,642,349",,5-14 years,Albania,Albania2006,3235.0,Millenials,282678.0,male,0.0,0.0,2006
"8,992,642,349",,55-74 years,Albania,Albania2006,3235.0,Silent,219360.0,male,0.0,0.0,2006
"8,992,642,349",,75+ years,Albania,Albania2006,3235.0,Silent,40782.0,male,0.0,0.0,2006
"10,701,011,897",,75+ years,Albania,Albania2007,3863.0,Silent,42366.0,male,18.88,8.0,2007
"10,701,011,897",,35-54 years,Albania,Albania2007,3863.0,Boomers,378626.0,male,7.66,29.0,2007
"10,701,011,897",,55-74 years,Albania,Albania2007,3863.0,Silent,224160.0,male,6.25,14.0,2007
"10,701,011,897",,75+ years,Albania,Albania2007,3863.0,Silent,57404.0,female,5.23,3.0,2007
"10,701,011,897",,25-34 years,Albania,Albania2007,3863.0,Generation X,172494.0,male,5.22,9.0,2007
"10,701,011,897",,15-24 years,Albania,Albania2007,3863.0,Millenials,281080.0,female,4.63,13.0,2007
"10,701,011,897",,15-24 years,Albania,Albania2007,3863.0,Millenials,288349.0,male,4.51,13.0,2007
"10,701,011,897",,25-34 years,Albania,Albania2007,3863.0,Generation X,183629.0,female,4.36,8.0,2007
"10,701,011,897",,55-74 years,Albania,Albania2007,3863.0,Silent,221120.0,female,4.07,9.0,2007
"10,701,011,897",,35-54 years,Albania,Albania2007,3863.0,Boomers,391811.0,female,3.57,14.0,2007
"10,701,011,897",,5-14 years,Albania,Albania2007,3863.0,Generation Z,272497.0,male,1.47,4.0,2007
"10,701,011,897",,5-14 years,Albania,Albania2007,3863.0,Generation Z,256808.0,female,0.0,0.0,2007
"12,881,352,688",,25-34 years,Albania,Albania2008,4672.0,Generation X,172855.0,male,12.15,21.0,2008
"12,881,352,688",,35-54 years,Albania,Albania2008,4672.0,Boomers,377119.0,male,9.81,37.0,2008
"12,881,352,688",,55-74 years,Albania,Albania2008,4672.0,Silent,228672.0,male,9.18,21.0,2008
"12,881,352,688",,75+ years,Albania,Albania2008,4672.0,Silent,59369.0,female,8.42,5.0,2008
"12,881,352,688",,15-24 years,Albania,Albania2008,4672.0,Millenials,276073.0,female,7.24,20.0,2008
"12,881,352,688",,25-34 years,Albania,Albania2008,4672.0,Generation X,182663.0,female,4.93,9.0,2008
"12,881,352,688",,35-54 years,Albania,Albania2008,4672.0,Boomers,393832.0,female,4.82,19.0,2008
"12,881,352,688",,75+ years,Albania,Albania2008,4672.0,Silent,44574.0,male,4.49,2.0,2008
"12,881,352,688",,15-24 years,Albania,Albania2008,4672.0,Millenials,286702.0,male,3.84,11.0,2008
"12,881,352,688",,55-74 years,Albania,Albania2008,4672.0,Silent,226448.0,female,3.09,7.0,2008
"12,881,352,688",,5-14 years,Albania,Albania2008,4672.0,Generation Z,262464.0,male,2.67,7.0,2008
"12,881,352,688",,5-14 years,Albania,Albania2008,4672.0,Generation Z,246288.0,female,0.41,1.0,2008
"12,044,212,904",,15-24 years,Albania,Albania2009,4387.0,Millenials,270003.0,female,0.0,0.0,2009
"12,044,212,904",,25-34 years,Albania,Albania2009,4387.0,Generation X,182712.0,female,0.0,0.0,2009
"12,044,212,904",,35-54 years,Albania,Albania2009,4387.0,Boomers,394286.0,female,0.0,0.0,2009
"12,044,212,904",,5-14 years,Albania,Albania2009,4387.0,Generation Z,236174.0,female,0.0,0.0,2009
"12,044,212,904",,55-74 years,Albania,Albania2009,4387.0,Silent,233302.0,female,0.0,0.0,2009
"12,044,212,904",,75+ years,Albania,Albania2009,4387.0,Silent,61582.0,female,0.0,0.0,2009
"12,044,212,904",,15-24 years,Albania,Albania2009,4387.0,Millenials,283448.0,male,0.0,0.0,2009
"12,044,212,904",,25-34 years,Albania,Albania2009,4387.0,Generation X,174955.0,male,0.0,0.0,2009
"12,044,212,904",,35-54 years,Albania,Albania2009,4387.0,Boomers,374365.0,male,0.0,0.0,2009
"12,044,212,904",,5-14 years,Albania,Albania2009,4387.0,Generation Z,253007.0,male,0.0,0.0,2009
"12,044,212,904",,55-74 years,Albania,Albania2009,4387.0,Silent,234570.0,male,0.0,0.0,2009
"12,044,212,904",,75+ years,Albania,Albania2009,4387.0,Silent,47331.0,male,0.0,0.0,2009
"11,926,953,259",0.722,55-74 years,Albania,Albania2010,4359.0,Silent,241852.0,male,8.27,20.0,2010
"11,926,953,259",0.722,35-54 years,Albania,Albania2010,4359.0,Generation X,371611.0,male,5.38,20.0,2010
"11,926,953,259",0.722,25-34 years,Albania,Albania2010,4359.0,Generation X,179720.0,male,5.01,9.0,2010
"11,926,953,259",0.722,75+ years,Albania,Albania2010,4359.0,Silent,50767.0,male,3.94,2.0,2010
